BlockId,Label
blk_8376667364205250596,Normal
blk_38865049064139660,Normal
blk_-4980916519894289629,Normal
blk_8145984793403459836,Normal
blk_-6520030462660619051,Normal
blk_-6952295868487656571,Normal
blk_6324712740029479576,Normal
blk_2149728827322918746,Normal
blk_-6008397446568765070,Normal
blk_7128370237687728475,Normal
blk_8229193803249955061,Normal
blk_-6670958622368987959,Normal
blk_-2794533871450434534,Normal
blk_3763728533434719668,Normal
blk_3050920587428079149,Normal
blk_6996194389878584395,Anomaly
blk_7888946331804732825,Normal
blk_6241141267506413726,Normal
blk_-8588908000680498,Normal
blk_2377150260128098806,Normal
blk_6763863888784019261,Normal
blk_572492839287299681,Normal
blk_9188832735514090334,Normal
blk_3587508140051953248,Normal
blk_5402003568334525940,Normal
blk_-3140754468249228022,Normal
blk_-3860035787700398391,Normal
blk_5792489080791696128,Normal
blk_-4223625526513535681,Normal
blk_8015913224713045110,Normal
blk_1724757848743533110,Normal
blk_-5623176793330377570,Normal
blk_5017373558217225674,Normal
blk_3141363517520802396,Normal
blk_-1727475099218615100,Normal
blk_5739119717322549945,Normal
blk_9212264480425680329,Normal
blk_153508158653341141,Normal
blk_-6290631608800952376,Normal
blk_8787656642683881295,Anomaly
blk_-7878121102358435702,Normal
blk_4568434182693165548,Normal
blk_8466246428293623262,Normal
blk_-5704899712662113150,Normal
blk_1543605971733759530,Anomaly
blk_-6114220623980201749,Normal
blk_-305633040016166849,Normal
blk_-945770324989341170,Normal
blk_-4794867979917102672,Normal
blk_3441699978641526775,Normal
blk_-1383276859207001328,Normal
blk_-2918118818249673980,Normal
blk_8291449241650212794,Normal
blk_-5861636720645142679,Normal
blk_8763662564934652249,Normal
blk_-1547954353065580372,Anomaly
blk_7453815855294711849,Normal
blk_-28342503914935090,Normal
blk_-5319073033164653435,Normal
blk_6973321719929905054,Normal
blk_-5974833545991408899,Normal
blk_-4295805058711840933,Normal
blk_-5009020203888190378,Normal
blk_-62891505109755100,Anomaly
blk_5126469776250053435,Normal
blk_8189008752707332487,Normal
blk_6921674711959888070,Normal
blk_-2032740670708110312,Normal
blk_-4841792440390267307,Normal
blk_5165786360127153975,Normal
blk_-1897524391075610396,Normal
blk_2937758977269298350,Normal
blk_673825774073966710,Normal
blk_-7526945448667194862,Normal
blk_-2094397855762091248,Normal
blk_-8523968015014407246,Normal
blk_-5145886774827574591,Normal
blk_3598904881888399067,Normal
blk_8181993091797661153,Anomaly
blk_4755566011267050000,Normal
blk_-6276023454199613372,Normal
blk_7603278760520020831,Normal
blk_-3909548841543565741,Normal
blk_8829027411458566099,Normal
blk_-6809181994368905854,Normal
blk_-6255015379143356507,Normal
blk_5905933788014151041,Normal
blk_-29548654251973735,Normal
blk_-2425070029518924403,Normal
blk_-5073870177832699716,Normal
blk_2244903517044280975,Normal
blk_-8241093737585222406,Normal
blk_-2480595760294717232,Normal
blk_-1775264355226395799,Normal
blk_7791237942696729620,Normal
blk_8492196963764530259,Normal
blk_2113880130496815041,Normal
blk_3585588704565901062,Normal
blk_1064470652608359218,Normal
blk_358331073189608564,Normal
blk_-1661553043410372067,Normal
blk_561417755647618727,Normal
blk_-1527267659500322006,Normal
blk_8303413189200230139,Anomaly
blk_-2827716238972737794,Normal
blk_7819984111120374407,Normal
blk_4499140370762613763,Normal
blk_6296828743242110158,Normal
blk_-2012430628930443984,Normal
blk_2756799797410851893,Normal
blk_8247499802516177421,Normal
blk_4886940526690879848,Normal
blk_3166960787499091856,Normal
blk_2879780987351022871,Normal
blk_-2452477352812192142,Normal
blk_-8403618945096094999,Normal
blk_-1599621098605751235,Normal
blk_-3358448553918665902,Normal
blk_2304296078821316612,Normal
blk_-4229375751333894621,Normal
blk_5075966182561035053,Normal
blk_-774267833966018354,Normal
blk_7517964792804498202,Normal
blk_2513940824125131775,Normal
blk_-518701095493827363,Normal
blk_8291708741145026623,Normal
blk_-1282453782148343691,Normal
blk_-2530087534157630851,Normal
blk_427714267500527780,Normal
blk_7154985168984871115,Normal
blk_-967145856473901804,Normal
blk_8404604116961181201,Normal
blk_4934527196392001803,Normal
blk_-6127741703501838658,Normal
blk_6497260538939100482,Normal
blk_2969087638814291714,Normal
blk_826351419727053015,Normal
blk_7940316270494947483,Normal
blk_8408125361497769001,Anomaly
blk_-1614641487214609125,Normal
blk_7577595658377008671,Normal
blk_3777400576053320362,Normal
blk_7754477838724397551,Normal
blk_-3582070652284403613,Normal
blk_-5852844080027817147,Normal
blk_1781953582842324563,Normal
blk_-5341992729755584578,Normal
blk_-2129171714384027465,Normal
blk_9093049293972551787,Normal
blk_-3509323198988774369,Normal
blk_-7724713468912166542,Normal
blk_-6867873931012347356,Normal
blk_6093743385844975689,Normal
blk_8692428775973608797,Normal
blk_-7515058933811567980,Normal
blk_-6837050820114491742,Normal
blk_-3437475890798229344,Normal
blk_-4117999745005013424,Normal
blk_-5195432543794777448,Normal
blk_467589865104023338,Normal
blk_1636660629634995787,Normal
blk_7190156588310412626,Normal
blk_7929144620252342335,Normal
blk_-1798958443298220150,Normal
blk_-54240672253074715,Normal
blk_-7172347691639518373,Normal
blk_-8796256534683400159,Normal
blk_-6412155847905320411,Normal
blk_-3455521536483250153,Normal
blk_6489659315944341351,Normal
blk_699651392443620263,Normal
blk_-8788032532930439012,Normal
blk_-643763844763678010,Normal
blk_-7017553867379051457,Normal
blk_-4304240611296196935,Normal
blk_2028803850179311599,Normal
blk_-1259190292740306590,Normal
blk_-6620182933895093708,Normal
blk_-8562334328670278932,Normal
blk_-8108913101671416218,Normal
blk_-2589662411410634043,Normal
blk_-6640779266188771131,Normal
blk_-7640601843607665080,Normal
blk_-6136511938931864993,Normal
blk_7654726977769174867,Normal
blk_8320088109701056055,Normal
blk_4585055992495043771,Normal
blk_-7418499425236853516,Normal
blk_-133919539232421451,Normal
blk_-8848810702648406400,Normal
blk_-4330512786228504138,Normal
blk_-476906696485288376,Normal
blk_4628142183191390143,Normal
blk_-6766351519628312408,Normal
blk_-7436749154361133879,Normal
blk_-2445347158368483245,Normal
blk_-684595390732854503,Normal
blk_7061131805920430446,Normal
blk_8483848473254499625,Anomaly
blk_549647953114643908,Normal
blk_-6956067134432991406,Normal
blk_559204981722276126,Normal
blk_-165500353496111884,Normal
blk_3160319368100972992,Normal
blk_-7105305952901940477,Anomaly
blk_-9103764593642564543,Anomaly
blk_7090935285617451450,Normal
blk_-562725280853087685,Normal
blk_-5005618994659797504,Normal
blk_4568377692254637284,Normal
blk_2278708746675870163,Normal
blk_7932704730736035192,Normal
blk_-5217146995455608468,Normal
blk_7481361125021302112,Normal
blk_-71429470616906355,Normal
blk_-3249711809227781266,Normal
blk_-522892190802801712,Normal
blk_-6329494504520216748,Normal
blk_5114010683183383297,Normal
blk_-7656610147924319419,Normal
blk_-207775976836691685,Normal
blk_9169945668827621796,Normal
blk_-6500549130351529113,Normal
blk_-2834195813213005328,Normal
blk_2096692261399680562,Anomaly
blk_-8255732027871411321,Normal
blk_-7894824934989391122,Normal
blk_8871064397020855320,Normal
blk_-2896670847306153652,Normal
blk_-1110880362999960078,Normal
blk_-8856628810470361280,Normal
blk_3463540868626173125,Normal
blk_-5309211894896608429,Normal
blk_-1055254430948037872,Normal
blk_8602496359012842630,Anomaly
blk_-730776401372551814,Normal
blk_3962600675982666210,Normal
blk_-7553009628768897700,Normal
blk_-8144387882075572886,Normal
blk_3068335169639013019,Normal
blk_-8014701913801168461,Normal
blk_-5972745462629982078,Normal
blk_-9069971851590882719,Normal
blk_278357163850888,Anomaly
blk_-8924134715029713489,Normal
blk_-3636681193077858741,Normal
blk_-7111788899695387329,Normal
blk_7324196727355442810,Normal
blk_-5135777574223073423,Normal
blk_-1148756466197125339,Normal
blk_-7096508472270520039,Normal
blk_-4067446915270471579,Normal
blk_9074030793567748915,Normal
blk_570916157110129687,Normal
blk_5963816136267066159,Normal
blk_3259872359515191972,Normal
blk_-210021574616486609,Normal
blk_-8524274644018377752,Normal
blk_3858015337960682724,Normal
blk_-2015110815660478655,Normal
blk_7484759945731484842,Normal
blk_-4110733372292809607,Normal
blk_1078000656626961731,Normal
blk_1686195200514944346,Normal
blk_-7152190882826520998,Normal
blk_-8306714721294235181,Normal
blk_666713934549639791,Normal
blk_5948455948626091880,Normal
blk_-3657665801189425193,Normal
blk_3169060243663461885,Normal
blk_8772892713521115147,Normal
blk_-6979800421545566530,Normal
blk_-6543889749770222531,Normal
blk_-3362838757940877177,Normal
blk_-1581605246928123722,Normal
blk_166171721314010075,Normal
blk_6223504502438507199,Normal
blk_-1233005817943453613,Normal
blk_-2975629975082443857,Normal
blk_8935202950442998446,Normal
blk_-4799092443170733505,Normal
blk_-7928230000822317050,Normal
blk_7505828172725463922,Normal
blk_365496398062338141,Normal
blk_-8522942048313632858,Normal
blk_-6900989714336081087,Normal
blk_-2826763604408365998,Normal
blk_-5215520749152394224,Normal
blk_8350646254685996250,Normal
blk_397848436489409658,Normal
blk_6105506155797750768,Normal
blk_4524198807982839635,Normal
blk_-3010126661650043258,Normal
blk_-9181958042427679309,Normal
blk_3087787567144441647,Normal
blk_-4741127506068309449,Normal
blk_-8898274302731129139,Normal
blk_-8484827087450439270,Normal
blk_-5124326558394984439,Normal
blk_-4937215748597091532,Normal
blk_7177118590277025973,Normal
blk_541463031152673662,Normal
blk_-8736461628840265232,Normal
blk_434034567989619521,Normal
blk_-7514806214244798312,Normal
blk_3979872751691718643,Normal
blk_-7007208336332784130,Normal
blk_-4702684774678057084,Normal
blk_-8026264173633579073,Normal
blk_-3457731723401426942,Normal
blk_424255210146453297,Normal
blk_-5719934513583495857,Normal
blk_413552235254424009,Normal
blk_-6836642008179678048,Normal
blk_8060713381303305129,Normal
blk_-7555801584297376435,Normal
blk_5760391051658436046,Anomaly
blk_-5949883083428548093,Normal
blk_7519257846502835091,Normal
blk_1598414622053793245,Normal
blk_-7866582011201618766,Normal
blk_-4196449318426994195,Normal
blk_-3860894070657427592,Normal
blk_-8023826090828946372,Normal
blk_2576408434603492552,Normal
blk_-9162090767925303921,Normal
blk_6106884317961925960,Normal
blk_5952254363678329024,Normal
blk_5272005015837990021,Normal
blk_-3805070405372551730,Normal
blk_4238127626194855481,Normal
blk_6828263829429857572,Normal
blk_2273334621242106674,Anomaly
blk_-7680599654910200999,Normal
blk_-2013946318750925538,Normal
blk_3278280638950561822,Normal
blk_-272707591443354058,Normal
blk_-26568864070436835,Normal
blk_-8383503596684323017,Normal
blk_-8679916835272129336,Normal
blk_-1367876730256254709,Normal
blk_6332892729727950039,Normal
blk_356592557993755459,Normal
blk_4355450627202483068,Normal
blk_-9161369067334198861,Normal
blk_-667933171485085225,Normal
blk_-6050976999174805557,Normal
blk_-1094025072435547068,Normal
blk_6534693994677948144,Normal
blk_-1492402439215451727,Normal
blk_830855781964014378,Normal
blk_-1111344660779690782,Normal
blk_9111860234027679206,Normal
blk_7672124247291403094,Normal
blk_-7837339190764609698,Normal
blk_-5569558931000121451,Normal
blk_6655622109568310643,Normal
blk_-4298255715894292387,Normal
blk_-20269367189114433,Normal
blk_-3384560576963801177,Normal
blk_-1331750856499198500,Normal
blk_-4566099704755845087,Normal
blk_-8093500164295459838,Normal
blk_426381928692704514,Normal
blk_-3787594914477940893,Normal
blk_-7983508786213002472,Normal
blk_-3792836284792472725,Normal
blk_4438674026376140804,Normal
blk_4081177399275502985,Normal
blk_2322432806134104317,Normal
blk_7323287581932922676,Normal
blk_5178539130945718870,Normal
blk_-7413910507260978729,Normal
blk_4774656339381154282,Normal
blk_-2901225370888235702,Normal
blk_-8187008844253719581,Normal
blk_6031076349976322578,Normal
blk_-5935642747315643391,Normal
blk_-8227485321105019293,Normal
blk_5210211633167259832,Normal
blk_-2285729896739318683,Normal
blk_2917692073041583988,Normal
blk_-8558845834445970595,Normal
blk_-6400421658804613208,Normal
blk_3790492230047189408,Normal
blk_5454332143498402824,Normal
blk_-4368236874477798428,Normal
blk_-5442040196315589272,Normal
blk_3852281952649038166,Normal
blk_755689327380778318,Normal
blk_7736147489540456118,Normal
blk_-8847552694913526632,Normal
blk_-6486714614940767660,Anomaly
blk_-7364557883931785608,Normal
blk_-3677956642639780952,Normal
blk_3073404534069578592,Normal
blk_-9038475355621289969,Normal
blk_1498192967843651378,Normal
blk_-1939956833921604216,Normal
blk_148513789886825227,Normal
blk_6002109944224710483,Normal
blk_7229716389774599497,Normal
blk_5095897972833086609,Normal
blk_4741107979793372752,Normal
blk_691517018986659607,Normal
blk_9072829105973334075,Normal
blk_-3802183646922512795,Normal
blk_-921231092429668424,Normal
blk_3515154079719300106,Normal
blk_3304535870056962597,Normal
blk_4841101867353115844,Normal
blk_-1347057913082589493,Normal
blk_1997668456720275587,Normal
blk_-4853183643928986291,Normal
blk_5547569777499890340,Normal
blk_4848669047361069041,Normal
blk_3084588477220583373,Normal
blk_6828121630547887549,Normal
blk_-653434419514937486,Normal
blk_-5511630179413516751,Normal
blk_3963698556744744747,Normal
blk_4404895858852856851,Normal
blk_1104376461837247304,Normal
blk_2039230511363331616,Normal
blk_8482111101480751895,Normal
blk_-3275788837420923000,Normal
blk_-8495670552887053546,Normal
blk_-1851265222873801714,Normal
blk_-5404881839098659470,Normal
blk_-591552904934794824,Normal
blk_-8408087700903896282,Normal
blk_703046261120042821,Normal
blk_805587860540600864,Normal
blk_-488298625688742454,Normal
blk_6465095458973828118,Normal
blk_-9110604833387121363,Normal
blk_-6056336045486998577,Normal
blk_-1635752698830216319,Normal
blk_3781645897486585075,Normal
blk_1777689952069868672,Normal
blk_5977008528949258706,Normal
blk_-9056276727170871967,Normal
blk_2731617036199392057,Normal
blk_-5368528328022648701,Normal
blk_-5919767990596301121,Normal
blk_3070718541088657475,Normal
blk_4357276972386184626,Normal
blk_-1674094254141559552,Normal
blk_6080034782037237879,Normal
blk_7942183449206967755,Normal
blk_-6289001686128460561,Normal
blk_-8645365827804358878,Normal
blk_-4590972095204776122,Normal
blk_-7372087176866857012,Normal
blk_892900079071425422,Normal
blk_2243777557693112935,Normal
blk_3291173852929756766,Normal
blk_-8192956077351896648,Normal
blk_-2020273862360001901,Normal
blk_5250287988089075029,Normal
blk_446513188203036714,Normal
blk_3338047823148530794,Normal
blk_5385121219895615240,Normal
blk_4210124392039605712,Normal
blk_2986720270598512615,Normal
blk_-6330812010936261924,Normal
blk_-8277873627721528374,Normal
blk_-5880591395067598620,Normal
blk_-8775602795571523802,Normal
blk_-8077373411465716253,Normal
blk_6855535886504612774,Normal
blk_-9198375937828232046,Normal
blk_9107849594802857322,Normal
blk_-8380267327243110056,Normal
blk_271142976916798281,Normal
blk_4029732570544915384,Normal
blk_8457344665564381337,Normal
blk_-7658293778087733436,Normal
blk_3797494971676497497,Normal
blk_6285161494041403917,Normal
blk_679168189072909208,Normal
blk_-5306443381473737599,Normal
blk_-2466006073687914843,Normal
blk_-6995454028444097802,Normal
blk_-6477590833521072407,Normal
blk_344934934043642744,Normal
blk_4984720043834039361,Normal
